,Group A:,'003,,,,Group B:,'115,,,,Group C:,'114
,,Engine Speed,Mass Air Flow,Throttle Valve Angle,Ignition,,Engine Speed,Engine Load,Boost Pressure,Boost Pressure,,Engine Load,Engine Load,Engine Load,Boost Pressure
,TIME,(G28),Sensor (G70),,Timing Angle,TIME,(G28),,(specified),(actual),TIME,(specified),(spec. corrected),(actual Value),Control (N75)
Marker,STAMP, /min, g/s, %, °BTDC,STAMP, /min, %, mbar, mbar,STAMP, %, %, %, %
,37.74,2680,9.28,7.5,-5.3,37.87,2640,15.0,310.0,1070.0,37.62,85.0,85.0,16.5,0.0
,38.14,2600,9.53,7.5,-5.3,38.27,2560,15.8,310.0,1070.0,37.99,85.0,85.0,15.8,0.0
,38.52,2480,7.92,7.1,-5.3,38.66,2440,15.8,300.0,1070.0,38.38,85.0,85.0,15.8,0.0
,38.91,2400,8.00,6.7,-5.3,39.03,2400,15.8,300.0,1060.0,38.78,85.0,85.0,15.8,0.0
,39.29,2360,7.78,6.7,-5.3,39.42,2320,15.0,300.0,1060.0,39.17,85.7,85.7,16.5,0.0
,39.69,2280,7.28,6.3,-5.3,39.81,2240,15.0,300.0,1060.0,39.54,85.7,85.7,15.0,0.0
,40.06,2240,7.14,6.3,-5.3,40.20,2200,14.3,290.0,1060.0,39.93,86.5,86.5,15.8,0.0
,40.45,2200,7.39,6.3,-6.0,40.57,2160,15.0,290.0,1050.0,40.32,86.5,86.5,15.0,0.0
,40.84,2160,7.19,5.9,-6.0,40.97,2120,15.0,290.0,1050.0,40.72,85.7,85.7,15.0,0.0
,41.23,2120,6.92,5.9,-6.0,41.35,2120,15.0,290.0,1050.0,41.09,85.0,85.0,15.0,0.0
,41.60,2080,6.56,5.9,-6.0,41.75,2080,15.0,290.0,1050.0,41.48,85.0,85.0,15.0,0.0
,42.00,2040,6.56,5.5,-6.0,42.12,2000,14.3,280.0,1050.0,41.87,85.0,85.0,14.3,0.0
,42.39,1960,6.42,5.5,-6.0,42.51,1960,15.0,280.0,1050.0,42.26,84.2,84.2,14.3,0.0
,42.78,1920,5.67,5.1,-6.8,42.91,1920,14.3,280.0,1040.0,42.64,85.0,85.0,14.3,0.0
